#id	type	name	x	y	width	height	ani_set_id
0 1 Simon 24 135 16 32 1
1 13 BoundingMap 0 176 224 16 -1
2 13 BoundingMap 224 0 32 192 -1
3 13 BoundingMap 160 112 64 16 -1
4 13 BoundingMap 32 80 128 16 -1
5 13 BoundingMap 0 64 32 64 -1
6 13 BoundingMap 0 0 16 64 -1
7 15 BottomStair 112 168 8 8 1
8 16 TopStair 160 76 32 8 1
9 11 Candle 198 121 8 16 31
10 11 Candle 75 117 8 16 31
11 105 Boomerang 75 117 8 16 40
12 102 Heart 198 121 8 16 40
13 204 BlackKnight 83 48 16 32 74
14 202 VampireBat 39 39 12 14 72
15 15 BottomStair 80 72 8 8 1
16 14 Portal 145 0 16 16 3
