#id	type	name	x	y	width	height	ani_set_id
0 13 BoundingMap 354 81 96 16 -1
1 13 BoundingMap 192 81 96 16 -1
2 13 BoundingMap 98 81 66 16 -1
3 11 Candle 403 10 8 16 31
4 11 Candle 322 35 8 16 31
5 11 Candle 214 25 8 16 31
6 11 Candle 134 24 8 16 31
7 13 BoundingMap 288 111 32 16 -1
8 13 BoundingMap 63 111 32 16 -1
9 13 BoundingMap 320 145 32 16 -1
10 13 BoundingMap 15 80 16 16 -1
11 13 BoundingMap 0 80 16 16 -1
12 13 BoundingMap 456 113 16 16 -1
13 16 TopStair 446 91 8 8 -1
14 1 Simon 378 153 16 32 1
15 1 Simon 24 135 16 32 1
16 13 BoundingMap 0 176 224 16 -1
17 13 BoundingMap 224 0 32 192 -1
18 13 BoundingMap 160 112 64 16 -1
19 13 BoundingMap 32 80 128 16 -1
20 13 BoundingMap 0 64 32 64 -1
21 13 BoundingMap 0 0 16 64 -1
22 15 BottomStair 112 168 8 8 -1
23 16 TopStair 160 76 32 8 -1
24 11 Candle 168 130 8 16 31
25 11 Candle 141 22 8 16 31
26 15 BottomStair 81 72 8 8 -1
27 14 Portal 141 2 16 16 3
28 13 BoundingMap 354 81 96 16 -1
29 13 BoundingMap 192 81 96 16 -1
30 13 BoundingMap 98 81 66 16 -1
31 11 Candle 403 10 8 16 31
32 11 Candle 322 35 8 16 31
33 11 Candle 214 25 8 16 31
34 11 Candle 134 24 8 16 31
35 13 BoundingMap 288 111 32 16 -1
36 13 BoundingMap 63 111 32 16 -1
37 13 BoundingMap 320 145 32 16 -1
38 13 BoundingMap 15 80 16 16 -1
39 13 BoundingMap 0 80 16 16 -1
40 16 TopStair 446 91 8 8 -1
41 1 Simon 378 153 16 32 1
42 13 BoundingMap 449 110 16 16 -1
