#id	type	name	x	y	width	height	ani_set_id item_id
0 14 Portal 370 187 24 8 3 -2
1 1 Simon 379 155 16 32 1 -2
2 16 TopStair 448 88 8 8 1 -2
3 17 Ground 448 112 32 16 -1 -2
4 17 Ground 353 79 96 16 -1 -2
5 17 Ground 318 143 40 16 -1 -2
6 17 Ground 288 111 32 16 -1 -2
7 17 Ground 191 79 96 16 -1 -2
8 17 Ground 96 80 64 16 -1 -2
9 17 Ground 62 113 32 16 -1 -2
10 17 Ground 0 80 32 16 -1 -2
11 18 Wall 481 1 32 184 -1 -2
12 18 Wall 352 96 32 48 -1 -2
13 18 Wall 223 99 48 96 -1 -2
14 18 Wall 128 98 32 96 -1 -2
15 11 Candle 458 16 8 16 31 0
16 11 Candle 396 21 8 16 31 1
17 11 Candle 333 18 8 16 31 2
18 11 Candle 240 32 8 16 31 3
19 11 Candle 145 48 8 16 31 4
20 11 Candle 103 37 8 16 31 5
21 11 Candle 44 15 8 16 31 2
22 204 BlackKnight 380 47 16 32 74 6
23 204 BlackKnight 220 47 16 32 74 0
24 202 VampireBat 296 32 12 14 72 2
25 19 BrickAni 50 80 32 16 33 -1
26 14 Portal 2 48 16 16 5 -2
