#id	type	name	x	y	width	height	ani_set_id
0 1 Simon 719 110 16 32 1
1 13 BoundingMap 671 158 96 16 -1
2 13 BoundingMap 512 176 160 16 -1
3 13 BoundingMap 353 176 160 16 -1
4 13 BoundingMap 223 176 160 16 -1
5 13 BoundingMap 128 176 96 16 -1
6 13 BoundingMap 64 159 64 16 -1
7 13 BoundingMap 31 127 32 16 -1
8 13 BoundingMap 96 96 96 16 -1
9 13 BoundingMap 288 127 32 16 -1
10 13 BoundingMap 418 127 32 16 -1
11 11 Candle 524 109 8 16 31
12 11 Candle 372 121 8 16 31
13 11 Candle 244 128 8 16 31
14 11 Candle 162 133 8 16 31
15 11 Candle 106 62 8 16 31
16 15 BottomStair 153 86 8 8 -1
