[TEXTURES]
# id	file_path				                    r	    g	    b
0 Resources\Textures\Simon.png 116 116 116
800 Resources\Textures\MoneyEffect.png 116 116 116

[SPRITES]
# id	left    top     right   bottom  texture_id  dx      dy
# simon
// idle
10000 1 21 16 31 0 0 0
11000 1581 21 16 31 0 0 0
// walk
10001 29 21 16 31 0 0 0
10002 46 21 12 31 0 0 0
10003 63 21 15 31 0 0 0
11001 1553 21 16 31 0 0 0
11002 1540 21 12 31 0 0 0
11003 1520 21 15 31 0 0 0
// Jump and sit
10004 84 22 16 23 0 0 0
11004 1498 22 16 23 0 0 0
// Climb Stair Up
10005 154 22 15 31 0 0 0
10006 171 21 12 31 0 0 0
11005 1429 22 15 31 0 0 0
11006 1415 21 12 31 0 0 0
// Climb Stair Down
10007 211 22 16 31 0 0 0
10008 228 21 12 31 0 0 0
11007 1371 22 16 31 0 0 0
11008 1358 21 12 31 0 0 0
// Hurt
10009 275 24 16 29 0 0 0
10010 308 24 16 21 0 0 0
11009 1307 24 16 29 0 0 0
11010 1274 24 16 21 0 0 0
// Death
10011 325 22 32 15 0 0 0
11011 1241 22 32 15 0 0 0
// Intro
10012 362 21 16 32 0 0 0
// Color
10013 406 21 16 31 0 0 0
10014 423 21 16 31 0 0 0
10015 440 21 16 31 0 0 0
10016 457 21 16 31 0 0 0
10017 474 21 16 31 0 0 0
11013 1176 21 16 31 0 0 0
11014 1159 21 16 31 0 0 0
11015 1142 21 16 31 0 0 0
11016 457 21 16 31 0 0 0
11017 474 21 16 31 0 0 0
//Use Weapons Standing
10018 1 78 24 31 0 0 0
10019 26 78 16 31 0 0 0
10020 45 78 22 31 0 -6 0
11018 1573 78 24 31 0 -8 0
11019 1556 78 16 31 0 0 0
11020 1531 78 22 31 0 0 0
//Use Weapons Sitting
10021 147 79 24 23 0 0 0
10022 172 79 16 23 0 0 0
10023 191 79 22 23 0 -6 0
11021 1427 79 24 23 0 -8 0
11022 1410 79 16 23 0 0 0
11023 1385 79 22 23 0 0 0
//Use Weapons Up Stair
10024 293 79 24 31 0 0 0
10025 318 79 16 31 0 0 0
10026 337 79 22 31 0 -6 0
11024 1281 79 24 31 0 -8 0
11025 1264 79 16 31 0 0 0
11026 1239 79 22 31 0 0 0
//Use Weapons Down Stair
10027 439 79 24 31 0 0 0
10028 464 79 16 31 0 0 0
10029 483 79 22 31 0 -6 0
11027 1135 79 24 31 0 -8 0
11028 1118 79 16 31 0 0 0
11029 1093 79 22 31 0 0 0
# MorningStar
//Level 1
20000 1 485 8 24 0 8 8
20001 10 482 16 19 0 0 5
20002 27 485 24 8 0 0 0
21000 1589 485 8 24 0 0 8
21001 1572 482 16 19 0 0 5
21002 1547 485 24 8 0 0 0
//Level 2
20010 61 485 8 24 0 8 8
20011 105 482 16 19 0 0 5
20012 156 487 24 6 0 0 0
21010 1529 485 8 24 0 0 8
21011 1477 482 16 19 0 0 5
21012 1418 487 24 6 0 0 0
//Level 3
20022 222 487 40 6 0 0 0
21022 1336 487 40 6 0 0 0

# WEAPONS
//dagger
20030 1228 480 16 9 0 0 0
21030 354 480 16 9 0 0 0

//Boomerang
20040 1128 479 14 13 0 0 0
20041 1165 478 15 14 0 0 0
20042 1147 478 15 14 0 0 0
21040 402 479 14 13 0 0 0
21041 418 478 15 14 0 0 0
21042 436 478 15 14 0 0 0

//Axe
20050 1068 477 15 14 0 0 0
20051 1050 477 15 14 0 0 0
20052 1033 479 15 14 0 0 0
20053 1017 479 15 14 0 0 0
21050 515 477 15 14 0 0 0
21051 533 477 15 14 0 0 0
21052 550 479 15 14 0 0 0
21053 566 479 15 14 0 0 0

//Fireboom
20060 1003 485 8 8 0 0 0
21060 587 485 8 8 0 0 0

# effect
//dead
50000 599 479 3 13 0 0 0
50001 606 480 6 12 0 0 0
50002 614 477 8 15 0 0 0
50003 623 479 16 14 0 0 0
50004 641 477 14 16 0 0 0
//collision
50010 727 477 8 10 0 0 0
//money effect
50020 1 1 13 8 800 0 0
50021 1 11 13 8 800 0 0
50022 1 21 13 8 800 0 0
50023 1 31 16 8 800 0 0
50024 1 41 16 8 800 0 0

# ani_idd    sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== SIMON =========
// idle left
100 1 10000 100
// idle right
101 1 11000 100
// walking left
102 1 10002 100 10003 100 10002 100 10001 100
// walking right
103 1 11002 100 11003 100 11002 100 11001 100
// jump/sitting left
104 1 10004 100
// jump/sitting right
105 1 11004 100
// climb stair up left
106 1 10005 100 10006 100
// climb stair up right
107 1 11005 100 11006 100
// climb stair down left
108 1 10007 100 10008 100
// climb stair down right
109 1 11007 100 11008 100
// hurt left
110 0 10009 100 10010 100
// hurt right
111 0 11009 100 11010 100
// death left
112 1 10011 100
// death right
113 1 11011 100
// fighting standing left
114 1 10018 100 10019 100 10020 150
// fighting standing right
115 1 11018 100 11019 100 11020 150
// fighting sitting left
116 1 10021 100 10022 100 10023 150
// fighting sitting right
117 1 11021 100 11022 100 11023 150
// fighting ascending stair left
118 1 10024 100 10025 100 10026 150
// fighting ascending stair right
119 1 11024 100 11025 100 11026 150
// fighting descending stair left
120 1 10027 100 10028 100 10029 150
// fighting descending stair right
121 1 11027 100 11028 100 11029 150
// intro
122 1 10012 100
// climb stair idle up left
123 1 10005 100
// climb stair idle up right
124 1 11005 100
// climb stair idle down left
125 1 10007 100
// climb stair idle down right
126 1 11007 100
# --- WEAPONS ---
# --- MorningStar ---
//MorningStar level 1 prepare left
200 1 20000 150 20001 150
//MorningStar level 1 left
201 1 20002 150
//MorningStar level 1 prepare right
202 1 21000 150 21001 150
//MorningStar level 1 right
203 1 21002 150
//MorningStar level 2 prepare left
204 1 20010 150 20011 150
//MorningStar level 2 left
205 1 20012 150
//MorningStar level 2 prepare right
206 1 21010 150 21011 150
//MorningStar level 2 right
207 1 21012 150
//MorningStar level 3 prepare left
208 1 20010 150 20011 150
//MorningStar level 3 left
209 1 20022 150
//MorningStar level 3 prepare right
210 1 21010 150 21011 150
//MorningStar level 3 right
211 1 21022 150

# --- Dagger ---
230 1 20030 100
231 1 21030 100

# --- Boomerang ---
240 1 20040 100 20041 100 20042 100
241 1 21040 100 21041 100 21042 100

# --- Axe ---
250 1 20050 100 20051 100 20052 100 20053 100
251 1 21050 100 21051 100 21052 100 20053 100

# --- Fireboom ---
260 1 20060 100
261 1 21060 100

//dead effect
500 1 50000 100 50001 100 50002 100 50003 100 50004 100
//collision effect
501 1 50010 100
//money effect
520 1 50020 100
521 1 50022 100
522 1 50023 100
523 1 50024 100
524 1 50025 100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# SIMON
1 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126
# MORNINGSTAR 
2 200 201 202 203 204 205 206 207 208 209 210 211
# Dagger
3 230 231
# Boomerang
4 240 241
# Axe
5 250 251
# Fireboom
6 260 261

[SETTINGS]
1 SIMON
2 MORNINGSTAR
3 DAGGER
4 BOOMERANG
5 AXE
6 FIREBOOM
